state,year,drug_deaths,population,unemployment_rate
Alabama,1999,195,4430141,4.7
Alabama,2000,232,4447100,4.6
Alabama,2001,253,4467634,5.1
Alabama,2002,248,4480089,5.9
Alabama,2003,255,4503491,6
Alabama,2004,327,4530729,5.7
Alabama,2005,332,4569805,4.5
Alabama,2006,466,4628981,4
Alabama,2007,554,4672840,4
Alabama,2008,646,4718206,5.7
Alabama,2009,688,4757938,11
Alabama,2010,585,4779736,10.5
Alabama,2011,605,4802740,9.6
Alabama,2012,632,4822023,8
Alabama,2013,648,4833722,7.2
Alabama,2014,800,4849377,6.8
Alabama,2015,810,4858979,6.1
Alabama,2016,855,4863300,5.9
Alaska,1999,56,624779,6.5
Alaska,2000,54,626932,6.4
Alaska,2001,72,633714,6.4
Alaska,2002,85,642337,7.3
Alaska,2003,86,648414,7.8
Alaska,2004,92,659286,7.5
Alaska,2005,85,666946,6.9
Alaska,2006,85,675302,6.6
Alaska,2007,75,680300,6.3
Alaska,2008,132,687455,6.7
Alaska,2009,133,698895,7.7
Alaska,2010,84,710231,7.9
Alaska,2011,107,722718,7.6
Alaska,2012,132,731449,7.1
Alaska,2013,110,735132,7
Alaska,2014,127,736732,6.9
Alaska,2015,127,738432,6.5
Alaska,2016,138,741894,6.9
Arizona,1999,557,5023823,4.4
Arizona,2000,559,5130632,4
Arizona,2001,598,5273477,4.8
Arizona,2002,667,5396255,6.1
Arizona,2003,739,5510364,5.7
Arizona,2004,803,5652404,5
Arizona,2005,849,5839077,4.7
Arizona,2006,959,6029141,4.2
Arizona,2007,981,6167681,3.9
Arizona,2008,853,6280362,6.2
Arizona,2009,1041,6343154,9.9
Arizona,2010,1141,6392017,10.4
Arizona,2011,1118,6482505,9.5
Arizona,2012,1206,6553255,8.3
Arizona,2013,1304,6626624,7.7
Arizona,2014,1274,6731484,6.8
Arizona,2015,1351,6828065,6.1
Arizona,2016,1500,6931071,5.4
Arkansas,1999,121,2651860,4.6
Arkansas,2000,151,2673400,4.3
Arkansas,2001,131,2691571,5
Arkansas,2002,190,2705927,5.5
Arkansas,2003,203,2724816,5.9
Arkansas,2004,249,2749686,5.7
Arkansas,2005,286,2781097,5.2
Arkansas,2006,307,2821761,5.2
Arkansas,2007,326,2848650,5.3
Arkansas,2008,390,2874554,5.5
Arkansas,2009,384,2896843,7.8
Arkansas,2010,374,2915918,8.2
Arkansas,2011,375,2937979,8.3
Arkansas,2012,398,2949131,7.6
Arkansas,2013,343,2959373,7.2
Arkansas,2014,377,2966369,6
Arkansas,2015,425,2978204,5
Arkansas,2016,423,2988248,3.9
California,1999,3091,33499204,5.2
California,2000,2301,33871648,4.9
California,2001,1507,34479458,5.4
California,2002,3418,34871843,6.7
California,2003,3614,35253159,6.8
California,2004,3681,35574576,6.2
California,2005,3821,35827943,5.4
California,2006,4026,36021202,4.9
California,2007,4178,36250311,5.4
California,2008,4147,36604337,7.3
California,2009,4290,36961229,11.2
California,2010,4258,37253956,12.2
California,2011,4429,37691912,11.7
California,2012,4304,38041430,10.4
California,2013,4747,38332521,8.9
California,2014,4816,38802500,7.5
California,2015,5025,39144818,6.2
California,2016,5094,39250017,5.5
Colorado,1999,375,4226018,3.1
Colorado,2000,372,4301261,2.8
Colorado,2001,444,4425687,3.8
Colorado,2002,474,4490406,5.5
Colorado,2003,529,4528732,6
Colorado,2004,548,4575013,5.5
Colorado,2005,640,4631888,5
Colorado,2006,660,4720423,4.3
Colorado,2007,747,4803868,3.7
Colorado,2008,760,4889730,4.8
Colorado,2009,784,4972195,7.3
Colorado,2010,676,5029196,8.7
Colorado,2011,852,5116796,8.4
Colorado,2012,826,5187582,7.9
Colorado,2013,864,5268367,6.9
Colorado,2014,917,5355866,5
Colorado,2015,893,5456574,3.9
Colorado,2016,973,5540545,3.3
Connecticut,1999,330,3386401,2.9
Connecticut,2000,336,3405565,2.4
Connecticut,2001,326,3432835,3.1
Connecticut,2002,377,3458749,4.3
Connecticut,2003,338,3484336,5.4
Connecticut,2004,360,3496094,5
Connecticut,2005,352,3506956,4.9
Connecticut,2006,458,3517460,4.3
Connecticut,2007,444,3527270,4.5
Connecticut,2008,397,3545579,5.7
Connecticut,2009,397,3561807,7.9
Connecticut,2010,372,3574097,9.1
Connecticut,2011,416,3580709,8.8
Connecticut,2012,451,3590347,8.3
Connecticut,2013,600,3596080,7.8
Connecticut,2014,639,3596677,6.6
Connecticut,2015,827,3590886,5.7
Connecticut,2016,997,3576452,5.1
Delaware,1999,55,774990,3.4
Delaware,2000,60,783600,3.7
Delaware,2001,70,795699,3.5
Delaware,2002,85,806169,4
Delaware,2003,88,818003,4.3
Delaware,2004,92,830803,4
Delaware,2005,67,845150,4.1
Delaware,2006,83,859268,3.6
Delaware,2007,102,871749,3.4
Delaware,2008,125,883874,4.9
Delaware,2009,139,891730,8.3
Delaware,2010,147,897934,8.4
Delaware,2011,166,907135,7.5
Delaware,2012,150,917092,7.2
Delaware,2013,170,925749,6.7
Delaware,2014,204,935614,5.7
Delaware,2015,208,945934,4.9
Delaware,2016,288,952065,4.5
District of Columbia,1999,55,570213,6.4
District of Columbia,2000,84,572059,5.6
District of Columbia,2001,111,574504,6.3
District of Columbia,2002,70,573158,6.4
District of Columbia,2003,119,568502,6.8
District of Columbia,2004,109,567754,7.8
District of Columbia,2005,94,567136,6.4
District of Columbia,2006,129,570681,5.8
District of Columbia,2007,90,574404,5.5
District of Columbia,2008,77,580236,6.5
District of Columbia,2009,58,592228,9.3
District of Columbia,2010,90,601723,9.4
District of Columbia,2011,94,617996,10.2
District of Columbia,2012,85,632323,9
District of Columbia,2013,113,646449,8.5
District of Columbia,2014,106,658893,7.8
District of Columbia,2015,130,672228,6.9
District of Columbia,2016,276,681170,6.1
Florida,1999,1061,15759421,3.9
Florida,2000,1237,15982378,3.7
Florida,2001,1833,16356966,4.7
Florida,2002,2041,16689370,5.6
Florida,2003,2153,17004085,5.2
Florida,2004,2408,17415318,4.6
Florida,2005,2664,17842038,3.7
Florida,2006,2928,18166990,3.2
Florida,2007,2936,18367842,4
Florida,2008,3097,18527305,6.3
Florida,2009,3193,18652644,10.4
Florida,2010,3181,18801310,11.1
Florida,2011,3033,19057542,10
Florida,2012,2697,19317568,8.5
Florida,2013,2603,19552860,7.2
Florida,2014,2804,19893297,6.3
Florida,2015,3377,20271272,5.5
Florida,2016,4963,20612439,4.8
Georgia,1999,347,8045965,3.9
Georgia,2000,429,8186453,3.6
Georgia,2001,591,8377038,4
Georgia,2002,631,8508256,5
Georgia,2003,684,8622793,4.8
Georgia,2004,730,8769252,4.8
Georgia,2005,820,8925922,5.3
Georgia,2006,912,9155813,4.7
Georgia,2007,973,9349988,4.5
Georgia,2008,977,9504843,6.2
Georgia,2009,1043,9620846,9.9
Georgia,2010,1124,9687653,10.5
Georgia,2011,1112,9815210,10.2
Georgia,2012,1115,9919945,9.2
Georgia,2013,1160,9992167,8.2
Georgia,2014,1268,10097343,7.1
Georgia,2015,1370,10214860,6
Georgia,2016,1461,10310371,5.4
Hawaii,1999,83,1210300,5.4
Hawaii,2000,64,1211537,4.2
Hawaii,2001,83,1225948,4.5
Hawaii,2002,85,1239613,4.2
Hawaii,2003,102,1251154,4.1
Hawaii,2004,128,1273569,3.4
Hawaii,2005,143,1292729,2.9
Hawaii,2006,131,1309731,2.6
Hawaii,2007,142,1315675,2.8
Hawaii,2008,129,1332213,4.3
Hawaii,2009,148,1346717,7.2
Hawaii,2010,154,1360301,6.9
Hawaii,2011,189,1374810,6.8
Hawaii,2012,159,1392313,6
Hawaii,2013,167,1404054,4.9
Hawaii,2014,174,1419561,4.4
Hawaii,2015,175,1431603,3.6
Hawaii,2016,207,1428557,2.9
Idaho,1999,66,1275674,4.9
Idaho,2000,70,1293953,4.7
Idaho,2001,99,1319962,5.1
Idaho,2002,123,1340372,5.6
Idaho,2003,118,1363380,5.6
Idaho,2004,113,1391802,4.9
Idaho,2005,118,1428241,4
Idaho,2006,147,1468669,3.5
Idaho,2007,133,1505105,3.1
Idaho,2008,152,1534320,5.1
Idaho,2009,181,1554439,8.8
Idaho,2010,184,1567582,9
Idaho,2011,199,1584985,8.3
Idaho,2012,188,1595728,7.2
Idaho,2013,217,1612136,6.1
Idaho,2014,218,1634464,4.9
Idaho,2015,224,1654930,4.2
Idaho,2016,260,1683140,3.8
Illinois,1999,872,12359020,4.4
Illinois,2000,910,12419293,4.3
Illinois,2001,930,12488445,5.3
Illinois,2002,1030,12525556,6.5
Illinois,2003,872,12556006,6.8
Illinois,2004,1080,12589773,6.2
Illinois,2005,1140,12609903,5.7
Illinois,2006,1423,12643955,4.5
Illinois,2007,1239,12695866,5
Illinois,2008,1412,12747038,6.3
Illinois,2009,1427,12796778,10.2
Illinois,2010,1344,12830632,10.4
Illinois,2011,1459,12869257,9.7
Illinois,2012,1667,12875255,9
Illinois,2013,1607,12882135,9
Illinois,2014,1736,12880580,7.1
Illinois,2015,1872,12859995,6
Illinois,2016,2455,12801539,5.8
Indiana,1999,251,6044969,3
Indiana,2000,289,6080485,3.1
Indiana,2001,348,6127760,4.2
Indiana,2002,345,6155967,5.2
Indiana,2003,498,6196638,5.3
Indiana,2004,606,6233007,5.4
Indiana,2005,665,6278616,5.5
Indiana,2006,773,6332669,5
Indiana,2007,827,6379599,4.6
Indiana,2008,869,6424806,5.9
Indiana,2009,929,6459325,10.3
Indiana,2010,964,6483802,10.4
Indiana,2011,1006,6516922,9.1
Indiana,2012,1056,6537334,8.3
